                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70716,                0.52428,                0.80146,                0.92051,                0.98628,                0.94547,                0.77517,                0.69795,                0.59193,                0.78102,               0.000948,               0.000948,               0.000948
                     37,                0.70188,                0.50811,                 0.7883,                0.91953,                0.98661,                 0.9445,                0.76636,                0.70242,                0.63689,                0.78026,             0.00093385,             0.00093385,             0.00093385
                     38,                0.75829,                0.53548,                0.78117,                0.91745,                0.98651,                0.95178,                0.77915,                0.67458,                0.58391,                0.77755,              0.0009197,              0.0009197,              0.0009197
                     39,                0.67975,                0.50503,                0.77867,                0.91628,                0.98601,                0.96645,                0.79157,                0.67924,                 0.5509,                 0.7799,             0.00090556,             0.00090556,             0.00090556
                     40,                 0.6381,                0.50398,                0.79462,                0.92931,                0.98271,                0.97733,                 0.7996,                0.70308,                 0.5391,                0.77945,             0.00089141,             0.00089141,             0.00089141
                     41,                0.66874,                0.50383,                 0.7905,                0.93422,                0.98186,                0.98116,                0.80839,                0.68979,                0.54067,                0.77723,             0.00087726,             0.00087726,             0.00087726
                     42,                0.66958,                0.51692,                0.78119,                0.96239,                0.96394,                0.98704,                0.81673,                0.66175,                0.55336,                0.77576,             0.00086312,             0.00086312,             0.00086312
                     43,                0.70361,                0.50427,                0.78481,                0.96121,                0.98118,                0.98812,                0.80509,                0.71395,                0.53776,                0.77973,             0.00084897,             0.00084897,             0.00084897
                     44,                0.66591,                0.50339,                0.78914,                0.94467,                0.97301,                0.98376,                0.80093,                0.69388,                0.53517,                0.77794,             0.00083482,             0.00083482,             0.00083482
                     45,                0.65599,                0.46855,                0.78793,                0.93341,                0.98118,                0.98248,                0.80221,                0.68305,                0.53393,                0.77715,             0.00082067,             0.00082067,             0.00082067
                     46,                 0.6868,                0.47882,                0.78704,                0.92607,                0.98197,                0.97898,                0.79315,                0.72928,                 0.5549,                0.77841,             0.00080653,             0.00080653,             0.00080653
                     47,                0.71026,                0.47683,                0.78704,                0.91744,                0.98579,                0.97281,                0.80351,                0.69226,                0.53661,                0.77563,             0.00079238,             0.00079238,             0.00079238
                     48,                0.70852,                0.49317,                0.78457,                0.91793,                0.98692,                0.97548,                0.79139,                0.71433,                0.54401,                0.77872,             0.00077823,             0.00077823,             0.00077823
                     49,                0.65448,                 0.4985,                0.77461,                0.92346,                0.98118,                0.97392,                0.80193,                0.67913,                0.54052,                0.77606,             0.00076409,             0.00076409,             0.00076409
                     50,                0.65205,                0.50471,                0.77843,                0.92455,                 0.9856,                0.97678,                0.80648,                0.67151,                0.52179,                0.77651,             0.00074994,             0.00074994,             0.00074994
