                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67667,                0.54295,                0.79507,                0.92576,                0.98693,                0.95584,                0.78212,                0.70384,                0.53401,                 0.7808,               0.000467,               0.000467,               0.000467
                     37,                0.66574,                0.53892,                0.79632,                0.92549,                0.98483,                0.95583,                0.78337,                0.69304,                0.52355,                0.78207,              0.0004387,              0.0004387,              0.0004387
                     38,                0.68312,                0.55832,                   0.79,                0.92714,                0.98693,                0.97083,                0.79941,                0.66351,                0.48601,                0.77991,             0.00041041,             0.00041041,             0.00041041
                     39,                0.66423,                0.52267,                0.78766,                0.92613,                0.98693,                0.98025,                0.81341,                0.65642,                0.48021,                0.77675,             0.00038211,             0.00038211,             0.00038211
                     40,                0.68175,                0.53545,                0.77667,                 0.9193,                0.98693,                0.98268,                0.80413,                0.66826,                0.48275,                0.77709,             0.00035382,             0.00035382,             0.00035382
                     41,                0.68039,                0.63563,                0.77444,                0.91916,                0.98693,                0.97651,                0.79699,                0.68389,                0.48884,                 0.7774,             0.00032553,             0.00032553,             0.00032553
                     42,                0.62847,                0.56314,                0.78022,                0.91994,                0.98693,                0.96997,                0.78827,                0.69556,                0.49277,                0.77886,             0.00029723,             0.00029723,             0.00029723
                     43,                0.59274,                0.54771,                0.78694,                0.92558,                0.98503,                0.97491,                0.79634,                0.65913,                0.46908,                0.77716,             0.00026894,             0.00026894,             0.00026894
                     44,                0.62113,                0.56359,                0.79293,                0.91858,                0.98779,                0.97638,                0.80592,                0.66166,                0.46854,                0.77672,             0.00024064,             0.00024064,             0.00024064
                     45,                0.58951,                0.61793,                0.78846,                 0.9303,                0.97774,                0.97732,                 0.8002,                0.66555,                0.47579,                0.77745,             0.00021235,             0.00021235,             0.00021235
                     46,                0.60546,                0.52058,                0.78625,                0.94557,                0.97454,                 0.9832,                0.80741,                0.66436,                0.46817,                0.77745,             0.00018406,             0.00018406,             0.00018406
                     47,                0.48322,                 2.9876,                0.67007,                0.94736,                0.97436,                0.98458,                0.81228,                0.65581,                0.45056,                0.77697,             0.00015576,             0.00015576,             0.00015576
                     48,                 0.5589,                0.48783,                0.78299,                 0.9426,                0.97106,                0.98051,                0.80748,                0.65827,                0.46172,                0.77582,             0.00012747,             0.00012747,             0.00012747
                     49,                 0.6267,                0.51331,                0.78861,                0.91964,                0.98943,                 0.9783,                0.80521,                0.65282,                 0.4623,                 0.7756,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.59023,                0.61804,                0.77374,                0.91973,                0.98923,                0.97719,                0.80984,                0.64854,                0.46475,                0.77555,             7.0878e-05,             7.0878e-05,             7.0878e-05
