                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.50458,                0.56348,                0.80711,                0.98437,                0.99976,                0.98394,                0.82382,                0.62522,                0.66925,                0.86259,             0.00058017,             0.00058017,             0.00058017
                     33,                 0.4916,                0.55271,                0.85627,                0.98115,                0.99898,                0.98394,                0.80941,                0.65995,                0.66096,                0.87204,             0.00055188,             0.00055188,             0.00055188
                     34,                0.44477,                0.50202,                0.81411,                0.97765,                0.99989,                0.98394,                0.81956,                 0.6568,                 0.6493,                0.87404,             0.00052359,             0.00052359,             0.00052359
                     35,                0.46685,                 0.5596,                0.82234,                0.97753,                      1,                0.98394,                0.83135,                0.62155,                0.61849,                0.86915,             0.00049529,             0.00049529,             0.00049529
                     36,                0.45898,                0.50587,                0.83681,                0.97898,                      1,                0.98394,                0.83152,                0.62264,                0.59229,                0.86967,               0.000467,               0.000467,               0.000467
                     37,                0.47468,                0.51783,                0.82113,                0.98057,                      1,                0.98394,                0.81826,                0.64396,                0.58443,                0.87442,              0.0004387,              0.0004387,              0.0004387
                     38,                 0.4938,                0.52233,                0.83088,                 0.9801,                      1,                0.98394,                0.81713,                0.64775,                0.57566,                0.87421,             0.00041041,             0.00041041,             0.00041041
                     39,                0.43249,                0.47517,                0.81568,                0.98049,                      1,                0.98394,                0.82138,                0.63436,                0.55742,                0.87015,             0.00038211,             0.00038211,             0.00038211
                     40,                0.52819,                0.51814,                0.84232,                 0.9819,                      1,                0.98394,                0.83209,                0.61814,                0.53192,                0.86496,             0.00035382,             0.00035382,             0.00035382
                     41,                0.39948,                0.55975,                0.79761,                0.98327,                      1,                0.98394,                0.82434,                 0.6112,                0.52456,                0.86291,             0.00032553,             0.00032553,             0.00032553
                     42,                0.37588,                0.51883,                0.80366,                0.98495,                      1,                0.98394,                0.81662,                0.62308,                0.55466,                0.86552,             0.00029723,             0.00029723,             0.00029723
                     43,                0.39394,                0.52179,                0.81469,                 0.9846,                      1,                0.98394,                0.81486,                0.63068,                0.57819,                0.86791,             0.00026894,             0.00026894,             0.00026894
                     44,                0.56991,                0.56909,                0.86059,                0.98374,                      1,                0.98394,                0.81717,                0.62172,                 0.5839,                0.86641,             0.00024064,             0.00024064,             0.00024064
                     45,                0.36426,                0.49809,                0.80199,                0.98329,                      1,                0.98433,                0.82355,                0.61534,                0.55658,                0.86427,             0.00021235,             0.00021235,             0.00021235
                     46,                0.37443,                0.49489,                0.79033,                0.98453,                      1,                0.98433,                0.81944,                0.61065,                0.52445,                0.86372,             0.00018406,             0.00018406,             0.00018406
                     47,                0.38138,                0.50925,                0.79036,                0.98534,                      1,                0.98433,                0.81777,                0.60852,                0.49756,                0.86539,             0.00015576,             0.00015576,             0.00015576
                     48,                0.38921,                0.48348,                 0.8181,                0.98491,                      1,                0.98467,                0.81761,                0.60791,                0.47911,                0.86663,             0.00012747,             0.00012747,             0.00012747
                     49,                 0.3475,                0.46475,                0.80756,                0.98427,                      1,                0.98544,                0.81831,                0.60749,                0.46967,                0.86767,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.43166,                0.46582,                0.82717,                0.98415,                      1,                0.98744,                0.82582,                 0.6021,                0.46569,                0.86609,             7.0878e-05,             7.0878e-05,             7.0878e-05
