                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3698,                 4.0268,                 1.1351,                      0,                      0,                      0,                      0,                0.85445,                 3.7852,                0.96528,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.1161,                 3.6703,                 1.0617,                0.00037,                0.02075,                0.00024,                0.00011,                0.74146,                 3.5907,                0.88166,             9.8049e-05,             9.8049e-05,             9.8049e-05
                      3,                0.77893,                 3.2374,                0.89519,                0.00056,                0.03225,                0.00447,                0.00305,                0.80678,                 3.4999,                0.87238,             0.00015097,             0.00015097,             0.00015097
                      4,                0.69559,                  2.379,                0.85317,                0.00865,                0.42976,                0.30548,                0.23888,                0.77178,                  3.324,                0.89595,             0.00020162,             0.00020162,             0.00020162
                      5,                0.67254,                 1.6871,                0.84729,                0.01122,                 0.6092,                0.44383,                0.31887,                0.78584,                 3.1703,                0.89489,             0.00025001,             0.00025001,             0.00025001
                      6,                0.67429,                 2.1982,                0.83186,                  0.017,                0.97701,                0.67879,                0.51243,                0.80565,                 2.8873,                0.86155,             0.00029613,             0.00029613,             0.00029613
                      7,                0.60249,                 1.2191,                0.83248,                0.01736,                      1,                0.69595,                0.51712,                 0.8084,                 2.7077,                0.85348,             0.00033999,             0.00033999,             0.00033999
                      8,                0.63225,                 1.0364,                0.85561,                0.01741,                      1,                0.74484,                0.56306,                0.79774,                 2.6863,                0.84968,             0.00038159,             0.00038159,             0.00038159
                      9,                0.61251,                 1.0525,                0.86106,                0.01752,                      1,                 0.7577,                0.56444,                 0.7761,                 2.6869,                0.85165,             0.00042093,             0.00042093,             0.00042093
                     10,                0.59453,                0.97171,                0.85272,                      1,                0.24651,                0.80413,                0.61095,                0.71844,                 2.5393,                0.85103,               0.000458,               0.000458,               0.000458
                     11,                 0.5611,                0.88629,                0.84673,                      1,                0.19787,                0.80307,                0.62753,                 0.7481,                 2.5105,                0.86426,              0.0004928,              0.0004928,              0.0004928
                     12,                0.51673,                0.90237,                0.82386,                      1,                0.21927,                0.76991,                0.61677,                0.69549,                 2.5461,                0.86339,             0.00052535,             0.00052535,             0.00052535
                     13,                0.57676,                0.77041,                 0.8577,                      1,                0.30259,                0.95145,                0.74291,                0.71049,                 2.4591,                0.87953,             0.00055563,             0.00055563,             0.00055563
                     14,                0.59627,                0.71881,                0.85314,                      1,                0.27999,                0.93509,                0.74652,                0.68167,                   2.45,                0.86904,             0.00058365,             0.00058365,             0.00058365
                     15,                0.55817,                0.68376,                0.84083,                      1,                0.34264,                0.84804,                0.68064,                0.69619,                 2.3322,                0.86984,              0.0006094,              0.0006094,              0.0006094
                     16,                0.46446,                0.66262,                0.81645,                      1,                 0.4193,                0.94928,                0.77014,                0.68732,                 2.1441,                0.87186,             0.00063289,             0.00063289,             0.00063289
                     17,                 0.4831,                0.62037,                0.81136,                0.99754,                0.68205,                0.98869,                0.81504,                0.65467,                  1.794,                0.87162,             0.00065412,             0.00065412,             0.00065412
                     18,                 0.5581,                0.61055,                0.83593,                0.98309,                0.83778,                0.97964,                0.80997,                 0.6885,                 1.4646,                0.87752,             0.00067308,             0.00067308,             0.00067308
                     19,                0.48752,                0.63463,                0.83583,                0.98374,                0.73395,                0.96731,                 0.7987,                 0.6944,                 1.5612,                0.87338,             0.00068978,             0.00068978,             0.00068978
                     20,                0.48513,                0.75385,                0.82404,                0.97938,                0.66667,                0.94364,                0.77369,                 0.6781,                 1.7229,                0.87061,             0.00070421,             0.00070421,             0.00070421
                     21,                 0.5168,                0.72419,                0.81655,                0.97522,                0.89077,                0.98467,                0.81139,                0.67997,                 1.4706,                0.87952,             0.00071639,             0.00071639,             0.00071639
                     22,                0.50078,                0.61913,                0.82941,                0.97739,                0.98588,                0.98811,                0.81725,                0.68413,                  1.207,                 0.8828,             0.00072629,             0.00072629,             0.00072629
                     23,                0.47682,                0.59024,                0.83555,                0.97626,                      1,                0.99011,                0.82092,                0.69749,                 1.0459,                0.88856,             0.00073394,             0.00073394,             0.00073394
                     24,                0.47662,                0.66868,                0.84833,                0.97449,                0.98674,                0.98544,                0.81682,                0.71725,                 1.0144,                0.89049,             0.00073932,             0.00073932,             0.00073932
                     25,                0.45407,                0.56705,                0.82953,                0.97261,                0.97605,                0.98433,                0.81468,                0.69499,                0.97828,                0.88196,             0.00074244,             0.00074244,             0.00074244
                     26,                0.48063,                0.58808,                0.83088,                0.97178,                0.97671,                0.98433,                0.81956,                0.65153,                0.91586,                0.87156,             0.00072164,             0.00072164,             0.00072164
                     27,                0.45079,                0.57332,                0.82443,                0.96875,                      1,                0.98394,                0.80931,                0.67637,                0.83826,                0.87812,             0.00072164,             0.00072164,             0.00072164
                     28,                0.49903,                0.55842,                0.83181,                 0.9696,                      1,                0.98394,                0.80287,                0.69489,                0.75572,                0.88653,             0.00069335,             0.00069335,             0.00069335
                     29,                0.44446,                0.53673,                0.81974,                0.97418,                      1,                0.98394,                0.82228,                0.66958,                0.68233,                0.88454,             0.00066506,             0.00066506,             0.00066506
                     30,                0.46202,                0.78644,                0.81245,                 0.9786,                      1,                0.98394,                0.82254,                0.63636,                0.65799,                0.87483,             0.00063676,             0.00063676,             0.00063676
                     31,                0.54991,                0.57164,                 0.8272,                0.98333,                      1,                0.98394,                0.82634,                0.61658,                0.67335,                0.86383,             0.00060847,             0.00060847,             0.00060847
