                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7315,                 4.7957,                  1.141,                0.00027,                0.01515,                0.00015,                  3e-05,                 1.4802,                 4.2023,                0.90932,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.5844,                 4.1103,                0.90131,                0.01017,                0.32765,                0.00729,                0.00493,                0.99183,                 3.8895,                 0.7871,             0.00015408,             0.00015408,             0.00015408
                      3,                 1.1967,                 2.4679,                0.81507,                0.00884,                 0.2587,                0.15442,                0.09288,                 1.0342,                 3.6775,                0.77817,             0.00023331,             0.00023331,             0.00023331
                      4,                 1.0984,                 1.7926,                 0.8066,                0.02333,                0.74789,                0.25636,                0.18649,                0.97066,                 3.4495,                0.78346,             0.00030915,             0.00030915,             0.00030915
                      5,                 1.0508,                 1.5158,                0.80957,                0.02984,                0.98342,                0.17149,                0.11562,                 1.0304,                 3.2828,                0.79424,             0.00038159,             0.00038159,             0.00038159
                      6,                 1.0095,                  1.374,                0.80417,                0.02999,                0.99099,                0.42035,                 0.3056,                0.95772,                 3.1043,                0.78841,             0.00045064,             0.00045064,             0.00045064
                      7,                 1.0038,                 1.2416,                0.81722,                0.02971,                0.98342,                0.62607,                0.47827,                0.90322,                  2.885,                0.78972,             0.00051629,             0.00051629,             0.00051629
                      8,                 1.0653,                  1.242,                0.79911,                0.02966,                0.98342,                0.75168,                0.55641,                0.90091,                 2.7008,                0.79248,             0.00057854,             0.00057854,             0.00057854
                      9,                 1.1437,                 1.1016,                0.82055,                0.02965,                0.98342,                 0.8329,                0.59896,                 1.0149,                 2.5748,                0.80169,              0.0006374,              0.0006374,              0.0006374
                     10,                0.99212,                  1.088,                0.81023,                0.02985,                0.99099,                0.88561,                0.67175,                 0.9115,                 2.3179,                0.80018,             0.00069287,             0.00069287,             0.00069287
                     11,                0.92069,                0.98198,                0.80155,                0.92558,                0.74314,                0.89098,                0.67234,                0.94547,                 2.1278,                0.80569,             0.00074494,             0.00074494,             0.00074494
